year,grandprix,driver,position
2021,Bahrain Grand Prix,Lewis Hamilton,3
2021,Bahrain Grand Prix,Lewis Hamilton,2
2021,Bahrain Grand Prix,Lewis Hamilton,1
2021,Bahrain Grand Prix,Lewis Hamilton,2
2021,Bahrain Grand Prix,Lewis Hamilton,1
2021,Bahrain Grand Prix,Max Verstappen,1
2021,Bahrain Grand Prix,Valtteri Bottas,3
2021,Bahrain Grand Prix,Valtteri Bottas,2
2021,Bahrain Grand Prix,Valtteri Bottas,3
2021,Bahrain Grand Prix,Valtteri Bottas,2
2021,Bahrain Grand Prix,Valtteri Bottas,4
2021,Bahrain Grand Prix,Valtteri Bottas,3
2021,Bahrain Grand Prix,Lando Norris,5
2021,Bahrain Grand Prix,Lando Norris,4
2021,Bahrain Grand Prix,Lando Norris,8
2021,Bahrain Grand Prix,Lando Norris,5
2021,Bahrain Grand Prix,Lando Norris,4
2021,Bahrain Grand Prix,Lando Norris,3
2021,Bahrain Grand Prix,Lando Norris,5
2021,Bahrain Grand Prix,Lando Norris,4
2021,Bahrain Grand Prix,Sergio Perez,15
2021,Bahrain Grand Prix,Sergio Perez,14
2021,Bahrain Grand Prix,Sergio Perez,13
2021,Bahrain Grand Prix,Sergio Perez,12
2021,Bahrain Grand Prix,Sergio Perez,10
2021,Bahrain Grand Prix,Sergio Perez,6
2021,Bahrain Grand Prix,Sergio Perez,5
2021,Bahrain Grand Prix,Sergio Perez,4
2021,Bahrain Grand Prix,Sergio Perez,3
2021,Bahrain Grand Prix,Sergio Perez,9
2021,Bahrain Grand Prix,Sergio Perez,8
2021,Bahrain Grand Prix,Sergio Perez,7
2021,Bahrain Grand Prix,Sergio Perez,6
2021,Bahrain Grand Prix,Sergio Perez,5
2021,Bahrain Grand Prix,Sergio Perez,4
2021,Bahrain Grand Prix,Sergio Perez,7
2021,Bahrain Grand Prix,Sergio Perez,6
2021,Bahrain Grand Prix,Sergio Perez,5
2021,Bahrain Grand Prix,Charles Leclerc,9
2021,Bahrain Grand Prix,Charles Leclerc,6
2021,Bahrain Grand Prix,Charles Leclerc,5
2021,Bahrain Grand Prix,Charles Leclerc,4
2021,Bahrain Grand Prix,Charles Leclerc,6
2021,Bahrain Grand Prix,Charles Leclerc,5
2021,Bahrain Grand Prix,Daniel Ricciardo,6
2021,Bahrain Grand Prix,Daniel Ricciardo,4
2021,Bahrain Grand Prix,Daniel Ricciardo,10
2021,Bahrain Grand Prix,Daniel Ricciardo,8
2021,Bahrain Grand Prix,Daniel Ricciardo,7
2021,Bahrain Grand Prix,Daniel Ricciardo,6
2021,Bahrain Grand Prix,Daniel Ricciardo,8
2021,Bahrain Grand Prix,Daniel Ricciardo,7
2021,Bahrain Grand Prix,Daniel Ricciardo,6
2021,Bahrain Grand Prix,Carlos Sainz,9
2021,Bahrain Grand Prix,Carlos Sainz,8
2021,Bahrain Grand Prix,Carlos Sainz,7
2021,Bahrain Grand Prix,Carlos Sainz,5
2021,Bahrain Grand Prix,Carlos Sainz,3
2021,Bahrain Grand Prix,Carlos Sainz,10
2021,Bahrain Grand Prix,Carlos Sainz,8
2021,Bahrain Grand Prix,Carlos Sainz,8
2021,Bahrain Grand Prix,Carlos Sainz,6
2021,Bahrain Grand Prix,Carlos Sainz,5
2021,Bahrain Grand Prix,Carlos Sainz,8
2021,Bahrain Grand Prix,Yuki Tsunoda,15
2021,Bahrain Grand Prix,Yuki Tsunoda,14
2021,Bahrain Grand Prix,Yuki Tsunoda,13
2021,Bahrain Grand Prix,Yuki Tsunoda,8
2021,Bahrain Grand Prix,Yuki Tsunoda,6
2021,Bahrain Grand Prix,Yuki Tsunoda,13
2021,Bahrain Grand Prix,Yuki Tsunoda,12
2021,Bahrain Grand Prix,Yuki Tsunoda,11
2021,Bahrain Grand Prix,Yuki Tsunoda,10
2021,Bahrain Grand Prix,Yuki Tsunoda,9
2021,Bahrain Grand Prix,Yuki Tsunoda,11
2021,Bahrain Grand Prix,Yuki Tsunoda,10
2021,Bahrain Grand Prix,Yuki Tsunoda,9
2021,Bahrain Grand Prix,Lance Stroll,8
2021,Bahrain Grand Prix,Lance Stroll,7
2021,Bahrain Grand Prix,Lance Stroll,12
2021,Bahrain Grand Prix,Lance Stroll,10
2021,Bahrain Grand Prix,Lance Stroll,9
2021,Bahrain Grand Prix,Lance Stroll,7
2021,Bahrain Grand Prix,Lance Stroll,13
2021,Bahrain Grand Prix,Lance Stroll,11
2021,Bahrain Grand Prix,Lance Stroll,10
2021,Bahrain Grand Prix,Lance Stroll,9
2021,Bahrain Grand Prix,Lance Stroll,8
2021,Bahrain Grand Prix,Lance Stroll,7
2021,Bahrain Grand Prix,Kimi Raikkonen,9
2021,Bahrain Grand Prix,Kimi Raikkonen,13
2021,Bahrain Grand Prix,Kimi Raikkonen,12
2021,Bahrain Grand Prix,Kimi Raikkonen,11
2021,Bahrain Grand Prix,Kimi Raikkonen,11
2021,Bahrain Grand Prix,Kimi Raikkonen,10
2021,Bahrain Grand Prix,Kimi Raikkonen,13
2021,Bahrain Grand Prix,Kimi Raikkonen,12
2021,Bahrain Grand Prix,Kimi Raikkonen,11
2021,Bahrain Grand Prix,Kimi Raikkonen,10
2021,Bahrain Grand Prix,Antonio Giovinazzi,10
2021,Bahrain Grand Prix,Antonio Giovinazzi,16
2021,Bahrain Grand Prix,Antonio Giovinazzi,15
2021,Bahrain Grand Prix,Antonio Giovinazzi,14
2021,Bahrain Grand Prix,Antonio Giovinazzi,13
2021,Bahrain Grand Prix,Antonio Giovinazzi,14
2021,Bahrain Grand Prix,Antonio Giovinazzi,14
2021,Bahrain Grand Prix,Antonio Giovinazzi,12
2021,Bahrain Grand Prix,Esteban Ocon,12
2021,Bahrain Grand Prix,Esteban Ocon,12
2021,Bahrain Grand Prix,Esteban Ocon,14
2021,Bahrain Grand Prix,Esteban Ocon,13
2021,Bahrain Grand Prix,Esteban Ocon,13
2021,Bahrain Grand Prix,Esteban Ocon,11
2021,Bahrain Grand Prix,Esteban Ocon,10
2021,Bahrain Grand Prix,Esteban Ocon,14
2021,Bahrain Grand Prix,Esteban Ocon,13
2021,Bahrain Grand Prix,Esteban Ocon,13
2021,Bahrain Grand Prix,George Russell,14
2021,Bahrain Grand Prix,George Russell,13
2021,Bahrain Grand Prix,George Russell,15
2021,Bahrain Grand Prix,George Russell,16
2021,Bahrain Grand Prix,George Russell,15
2021,Bahrain Grand Prix,George Russell,14
2021,Bahrain Grand Prix,George Russell,12
2021,Bahrain Grand Prix,George Russell,11
2021,Bahrain Grand Prix,George Russell,10
2021,Bahrain Grand Prix,George Russell,15
2021,Bahrain Grand Prix,George Russell,14
2021,Bahrain Grand Prix,Sebastian Vettel,13
2021,Bahrain Grand Prix,Sebastian Vettel,13
2021,Bahrain Grand Prix,Sebastian Vettel,14
2021,Bahrain Grand Prix,Sebastian Vettel,10
2021,Bahrain Grand Prix,Sebastian Vettel,7
2021,Bahrain Grand Prix,Sebastian Vettel,6
2021,Bahrain Grand Prix,Sebastian Vettel,16
2021,Bahrain Grand Prix,Sebastian Vettel,15
2021,Bahrain Grand Prix,Sebastian Vettel,14
2021,Bahrain Grand Prix,Sebastian Vettel,13
2021,Bahrain Grand Prix,Sebastian Vettel,12
2021,Bahrain Grand Prix,Mick Schumacher,18
2021,Bahrain Grand Prix,Mick Schumacher,17
2021,Bahrain Grand Prix,Mick Schumacher,18
2021,Bahrain Grand Prix,Mick Schumacher,17
2021,Bahrain Grand Prix,Mick Schumacher,16
2021,Bahrain Grand Prix,Pierre Gasly,17
