track_name,session_name,overtaking_driver_name,overtaken_driver_name,date,position
Bahrain Grand Prix,Race,Lewis Hamilton,George Russell,2023,6
Bahrain Grand Prix,Race,Lewis Hamilton,Fernando Alonso,2023,5
Bahrain Grand Prix,Race,Lewis Hamilton,Carlos Sainz,2023,4
Bahrain Grand Prix,Race,Lewis Hamilton,Charles Leclerc,2023,3
Bahrain Grand Prix,Race,Lewis Hamilton,Sergio Perez,2023,2
Bahrain Grand Prix,Race,Lewis Hamilton,Max Verstappen,2023,1
Bahrain Grand Prix,Race,Lance Stroll,Max Verstappen,2023,2
Bahrain Grand Prix,Race,Lance Stroll,Charles Leclerc,2023,4
Bahrain Grand Prix,Race,Lance Stroll,Sergio Perez,2023,3
Bahrain Grand Prix,Race,Lance Stroll,Fernando Alonso,2023,6
Bahrain Grand Prix,Race,Lance Stroll,George Russell,2023,7
Bahrain Grand Prix,Race,Lance Stroll,Carlos Sainz,2023,5
Bahrain Grand Prix,Race,Esteban Ocon,Nico Hulkenberg,2023,10
Bahrain Grand Prix,Race,Esteban Ocon,George Russell,2023,9
Bahrain Grand Prix,Race,Esteban Ocon,Fernando Alonso,2023,8
Bahrain Grand Prix,Race,Esteban Ocon,Carlos Sainz,2023,7
Bahrain Grand Prix,Race,Esteban Ocon,Charles Leclerc,2023,6
Bahrain Grand Prix,Race,Esteban Ocon,Sergio Perez,2023,5
Bahrain Grand Prix,Race,Esteban Ocon,Max Verstappen,2023,4
Bahrain Grand Prix,Race,Nico Hulkenberg,Max Verstappen,2023,5
Bahrain Grand Prix,Race,Nico Hulkenberg,Charles Leclerc,2023,7
Bahrain Grand Prix,Race,Nico Hulkenberg,Sergio Perez,2023,6
Bahrain Grand Prix,Race,Nico Hulkenberg,Fernando Alonso,2023,9
Bahrain Grand Prix,Race,Nico Hulkenberg,George Russell,2023,10
Bahrain Grand Prix,Race,Nico Hulkenberg,Carlos Sainz,2023,8
Bahrain Grand Prix,Race,Valtteri Bottas,George Russell,2023,11
Bahrain Grand Prix,Race,Valtteri Bottas,Fernando Alonso,2023,10
Bahrain Grand Prix,Race,Valtteri Bottas,Carlos Sainz,2023,9
Bahrain Grand Prix,Race,Valtteri Bottas,Charles Leclerc,2023,8
Bahrain Grand Prix,Race,Valtteri Bottas,Sergio Perez,2023,7
