Driver,Year,Round,EventName,Team,Qualifying_Pace,BestQualifyingTime,FieldMedian,QualifyingPosition,GridPosition,Race_Pace,TotalCleanLaps,NumStints,QP_Score,RP_Score,Overall_Pace_Score
HAM,2018,1,Australian Grand Prix,Mercedes,-2.400499999999994,81.164,83.5645,1.0,1.0,86.29456075533662,42.0,2.0,10.0,10.0,10.0
RAI,2018,1,Australian Grand Prix,Ferrari,-1.7364999999999924,81.828,83.5645,2.0,2.0,86.38367241379311,42.0,2.0,8.553376906318078,9.692471779917874,9.122924343117976
VET,2018,1,Australian Grand Prix,Ferrari,-1.7265000000000017,81.838,83.5645,3.0,3.0,86.32958463949842,44.0,2.0,8.531590413943372,9.879131048134392,9.205360731038882
VER,2018,1,Australian Grand Prix,Red Bull Racing,-1.6854999999999905,81.879,83.5645,4.0,4.0,87.33028189655172,40.0,2.0,8.442265795206964,6.425681167017733,7.433973481112348
BOT,2018,1,Australian Grand Prix,Mercedes,-1.4754999999999967,82.089,83.5645,10.0,15.0,87.65442101042501,43.0,2.0,7.984749455337697,5.3070629471905,6.645906201264099
RIC,2018,1,Australian Grand Prix,Red Bull Racing,-1.4124999999999943,82.152,83.5645,5.0,8.0,86.84242319749217,44.0,2.0,7.847494553376907,8.109302816216694,7.978398684796801
SAI,2018,1,Australian Grand Prix,Renault,-0.5034999999999883,83.061,83.5645,9.0,9.0,87.83350126156435,41.0,2.0,5.8671023965141496,4.689049189634501,5.278075793074326
MAG,2018,1,Australian Grand Prix,Haas F1 Team,-0.3774999999999977,83.187,83.5645,6.0,5.0,87.63088916256159,14.0,1.0,5.592592592592601,5.388272380546695,5.490432486569649
GRO,2018,1,Australian Grand Prix,Haas F1 Team,-0.2254999999999967,83.339,83.5645,7.0,6.0,87.4884375,16.0,1.0,5.261437908496738,5.87987928130586,5.5706585949013
HUL,2018,1,Australian Grand Prix,Renault,-0.0324999999999988,83.532,83.5645,8.0,7.0,87.47860705693665,43.0,2.0,4.840958605664499,5.9138045690881205,5.377381587376309
ALO,2018,1,Australian Grand Prix,McLaren,0.0324999999999988,83.597,83.5645,11.0,10.0,87.43101574212895,46.0,2.0,4.699346405228774,6.078044272261502,5.388695338745138
VAN,2018,1,Australian Grand Prix,McLaren,0.2884999999999991,83.853,83.5645,12.0,11.0,87.69494546912591,43.0,2.0,4.141612200435746,5.16721127267403,4.654411736554888
