Driver,n_races,mean_Tyre_0_100,mean_Pace_0_100,mean_Overtake_0_100,mean_Stability_0_100,skill_score_0_100,rank
VER,142,87.9683001685327,89.74746475447425,18.932480754315105,88.93509201060267,78.95551275692344,1
HAM,144,87.85485712791956,84.79547515161047,21.702011079238268,94.30763894720928,78.38286714620567,2
PIA,45,88.15848710301083,68.2958144039714,42.351028269230596,82.67672079978304,73.26548084072385,3
LEC,140,87.4266281794754,73.19764431782309,21.321864892475993,83.43858658431019,72.00084237566914,4
SAI,138,88.1030877255222,68.13393484450177,21.948271765887007,86.84940773095911,70.99228594422313,5
NOR,125,87.99452373053106,67.04504943937968,22.265424825653312,87.78496220252443,70.7565768562167,6
PER,141,88.02959898368668,64.47225632807275,23.68050981539875,84.64139313473635,69.4700042557646,7
VET,99,88.01063672323482,64.19527735148762,11.948897314582856,86.15400604463531,67.9465558276539,8
BOT,146,87.4016774257264,63.293682839592734,16.910887679116428,70.48841649644856,65.44736139302336,9
RUS,126,87.9578171426584,53.138961908548985,21.80282082564599,84.43414571389471,64.90827400989804,10
ALO,108,87.44494404057855,54.88992033324831,25.218911463947773,76.95181126093645,64.60976207980188,11
RAI,77,88.07967070471611,52.671156114917814,8.24157235568688,88.57679621764765,63.54646949829582,12
RIC,123,88.32505257170581,54.96677435864167,15.883818337109867,74.27321535164411,63.12449416378746,13
GAS,141,87.4575642442435,50.2215173707947,19.62026051186957,76.77342601592187,62.03999929837175,14
KVY,38,88.39796812292762,47.75107808329463,7.959090194181147,86.64237793870436,61.435838073201346,15
ALB,99,88.16856986240283,47.3381678565008,21.07447985922796,69.91656231890603,60.21913946903334,16
OCO,118,87.41964217188067,45.385561682985205,21.16636697718615,69.63146192170869,59.219517509585714,17
HUL,88,88.09813269581761,46.90893321937874,22.06220663234726,63.065936531766916,59.00583754983545,18
STR,141,87.85942363758534,41.79106216854027,18.99237233676995,75.90751564764088,58.77689330170375,19
GIO,58,88.2037948061341,39.40428340130445,6.427990199514122,90.04924053034873,58.61967590472009,20
TSU,83,87.96483860323933,42.319354547593775,27.175510910076348,64.08429780633018,58.15191891049633,21
GRO,53,88.40578910148061,39.013436943307596,2.90138925741119,72.09671842776845,54.96345590341051,22
MAG,119,88.22198916658758,36.704266294582595,16.51734403674382,65.40246179370685,54.839320032545196,23
MSC,41,87.22304429702105,26.43168921571137,10.120465533351704,85.65701065435208,53.23949050647517,24
ZHO,67,88.43015380331543,27.959686919895212,25.11392440406911,50.80738198301287,50.36535367198327,25
LAT,58,88.15551311412659,20.011604901841366,6.6135517500095915,78.7361697697721,49.447610791398766,26
SAR,36,88.47059404027185,21.920706574165756,22.852148911502166,34.380954419795856,44.98883837399474,27
