Driver,2025 Salary ($M),Salary Rank,Salary Z-score,2025 Popularity Index,Popularity Rank,Popularity Z-score,2025 Cumulative Points,Points Rank,Points Z-score,DriverCode,n_races_x,mean_Tyre_0_100,mean_Pace_0_100,mean_Overtake_0_100,mean_Stability_0_100,skill_score_0_100,skill_rank,n_races_y,latent_ability,latent_ability_0_10,latent_rank,PenaltyPoints_2018_2024,Salary_minus_Skill_rank,Popularity_minus_Skill_rank,Points_minus_Skill_rank,Penalty_rank,Penalty_minus_Skill_rank
Lando Norris,20,4,0.286,92,1,1.887,423,1,1.985,NOR,125.0,87.99452373053106,67.04504943937968,22.265424825653312,87.78496220252443,70.7565768562167,6.0,121.0,3.641856868538264,6.82801719828414,8.0,13.0,-2.0,-5.0,-5.0,15.0,9.0
Max Verstappen,65,2,2.526,85,4,1.45,421,2,1.971,VER,142.0,87.9683001685327,89.74746475447425,18.932480754315105,88.93509201060267,78.95551275692344,1.0,139.0,4.901695042260739,9.808616610251642,2.0,72.0,1.0,3.0,1.0,20.0,19.0
Oscar Piastri,6,12,-0.411,68,6,0.387,410,3,1.896,PIA,45.0,88.15848710301083,68.2958144039714,42.3510282692306,82.67672079978304,73.26548084072385,3.0,45.0,3.805211688195609,7.214491659503313,7.0,6.0,9.0,3.0,0.0,10.0,7.0
George Russell,15,6,0.037,65,7,0.2,319,4,1.276,RUS,126.0,87.9578171426584,53.138961908548985,21.80282082564599,84.43414571389471,64.90827400989804,10.0,125.0,2.6741550313353253,4.538571151094963,15.0,7.0,-4.0,-3.0,-6.0,12.0,2.0
Charles Leclerc,34,3,0.983,88,3,1.637,242,5,0.75,LEC,140.0,87.4266281794754,73.19764431782309,21.321864892475997,83.43858658431019,72.00084237566914,4.0,137.0,3.876886630161223,7.384064462051661,6.0,2.0,-1.0,-1.0,1.0,6.0,2.0
Lewis Hamilton,70,1,2.775,90,2,1.762,156,6,0.164,HAM,144.0,87.85485712791956,84.79547515161047,21.702011079238268,94.30763894720928,78.38286714620567,2.0,140.0,4.982588871620461,10.0,1.0,10.0,-1.0,0.0,4.0,13.0,11.0
Kimi Antonelli,2,14,-0.61,50,15,-0.737,150,7,0.123,,,,,,,,,,,,,0.0,,,,1.0,
Alexander Albon,8,9,-0.311,60,9,-0.112,73,8,-0.402,ALB,99.0,88.16856986240283,47.3381678565008,21.07447985922796,69.91656231890603,60.21913946903334,16.0,95.0,2.6907591021907216,4.5778540406438895,14.0,3.0,-7.0,-7.0,-8.0,8.0,-8.0
Carlos Sainz,10,7,-0.212,64,8,0.137,64,9,-0.464,SAI,138.0,88.1030877255222,68.13393484450177,21.948271765887007,86.84940773095911,70.99228594422313,5.0,136.0,3.928229517513002,7.505534491331103,5.0,5.0,2.0,3.0,4.0,9.0,4.0
Fernando Alonso,20,4,0.286,72,5,0.637,56,10,-0.518,ALO,108.0,87.44494404057855,54.88992033324831,25.218911463947773,76.95181126093645,64.60976207980188,11.0,105.0,3.460823151123224,6.399716958675411,9.0,32.0,-7.0,-6.0,-1.0,17.0,6.0
Nico Hulkenberg,7,10,-0.361,55,11,-0.425,51,11,-0.553,HUL,88.0,88.09813269581761,46.90893321937874,22.06220663234726,63.06593653176692,59.00583754983545,18.0,88.0,2.5484525422859443,4.2411767930272175,18.0,0.0,-8.0,-7.0,-7.0,1.0,-17.0
Isack Hadjar,1,17,-0.66,45,18,-1.05,51,11,-0.553,,,,,,,,,,,,,0.0,,,,1.0,
Oliver Bearman,1,17,-0.66,58,10,-0.237,41,13,-0.621,,,,,,,,,,,,,6.0,,,,10.0,
Liam Lawson,1,17,-0.66,52,14,-0.612,38,14,-0.641,,,,,,,,,,,,,2.0,,,,6.0,
Esteban Ocon,7,10,-0.361,50,15,-0.737,38,14,-0.641,OCO,118.0,87.41964217188067,45.385561682985205,21.16636697718615,69.63146192170869,59.219517509585714,17.0,113.0,3.98266116951244,7.63431210207977,3.0,13.0,-7.0,-2.0,-3.0,15.0,-2.0
Lance Stroll,3,13,-0.56,40,20,-1.362,33,16,-0.675,STR,141.0,87.85942363758534,41.79106216854027,18.99237233676995,75.90751564764088,58.77689330170375,19.0,136.0,2.8474382399932856,4.948534780236061,13.0,43.0,-6.0,1.0,-3.0,18.0,-1.0
Yuki Tsunoda,2,14,-0.61,55,11,-0.425,33,16,-0.675,TSU,83.0,87.96483860323933,42.319354547593775,27.175510910076348,64.08429780633018,58.15191891049633,21.0,79.0,2.204256662275543,3.426857891632638,21.0,51.0,-7.0,-10.0,-5.0,19.0,-2.0
Pierre Gasly,10,7,-0.212,54,13,-0.487,22,18,-0.75,GAS,141.0,87.4575642442435,50.2215173707947,19.62026051186957,76.77342601592187,62.03999929837175,14.0,139.0,3.07776340027543,5.493451620840947,12.0,11.0,-7.0,-1.0,4.0,14.0,0.0
Gabriel Bortoleto,2,14,-0.61,48,17,-0.862,19,19,-0.771,,,,,,,,,,,,,0.0,,,,1.0,
Jack Doohan,1,17,-0.66,45,18,-1.05,0,20,-0.9,,,,,,,,,,,,,0.0,,,,1.0,
