Driver,2025 Salary ($M),Salary Rank,Salary Z-score,2025 Popularity Index,Popularity Rank,Popularity Z-score,2025 Cumulative Points,Points Rank,Points Z-score,Ability Rank,Latent Rank,PenaltyPoints_2018_2024,Ability_z,Latent_z,Points_z,Popularity_z,Discipline_z,ValueScore_current,ValueScore_future,Salary_M,ValueIndex_current,ValueIndex_future,ValueIndex_current_rank,ValueIndex_future_rank
Lando Norris,20,4,0.286,92,1,1.887,423,1,1.985,10.0,8.0,13.0,-0.03829509868994718,0.2668676895830187,1.985,1.887,0.041117114140373015,0.8605289170035612,0.9978521717263958,20.0,0.043026445850178056,0.04989260858631979,2,2
Max Verstappen,65,2,2.526,85,4,1.45,421,2,1.971,2.0,2.0,72.0,1.3913885857347525,1.2858170498090904,1.971,1.45,-2.9912700537121344,1.1097478582094253,1.0622406670428772,65.0,0.017073043972452698,0.01634216410835196,6,6
Oscar Piastri,6,12,-0.411,68,6,0.387,410,3,1.896,7.0,7.0,6.0,0.49783628296931526,0.43669258295403063,1.896,0.387,0.4008918628686366,0.8155155136230555,0.7880008486161774,6.0,0.13591925227050924,0.13133347476936288,1,1
George Russell,15,6,0.037,65,7,0.2,319,4,1.276,17.0,15.0,7.0,-1.2892683225615595,-0.9219065640140648,1.276,0.2,0.34949547019317034,-0.18622119813338478,-0.02090840678701212,15.0,-0.012414746542225652,-0.0013938937858008079,9,8
Charles Leclerc,34,3,0.983,88,3,1.637,242,5,0.75,8.0,6.0,2.0,0.3191258224162278,0.6065174763250426,0.75,1.637,0.6064774335705014,0.7191543634443527,0.8484806077033193,34.0,0.0211515989248339,0.0249553119912741,5,5
Lewis Hamilton,70,1,2.775,90,2,1.762,156,6,0.164,1.0,1.0,10.0,1.5700990462878401,1.4556419431801022,0.164,1.762,0.19530629216677167,1.1194752000462054,1.0679695036477235,70.0,0.015992502857802935,0.015256707194967477,7,7
Kimi Antonelli,2,14,-0.61,50,15,-0.737,150,7,0.123,,,0.0,,,0.123,-0.737,0.7092702189214339,,,2.0,,,15,15
Alexander Albon,8,9,-0.311,60,9,-0.112,73,8,-0.402,15.0,14.0,3.0,-0.9318474014553846,-0.7520816706430529,-0.402,-0.112,0.5550810408950353,-0.4867232265654195,-0.4058286476998703,8.0,-0.06084040332067744,-0.05072858096248379,11,11
Carlos Sainz,10,7,-0.212,64,8,0.137,64,9,-0.464,6.0,5.0,5.0,0.6765467435224027,0.7763423696960545,-0.464,0.137,0.4522882555441028,0.26107486013949155,0.3059828919176348,10.0,0.026107486013949154,0.030598289191763477,4,3
Fernando Alonso,20,4,0.286,72,5,0.637,56,10,-0.518,9.0,9.0,32.0,0.1404153618631403,0.09704279621200677,-0.518,0.637,-0.9354143466934852,-0.032454521830935376,-0.05197217637394547,20.0,-0.0016227260915467688,-0.0025986088186972733,8,9
Nico Hulkenberg,7,10,-0.361,55,11,-0.425,51,11,-0.553,16.0,18.0,0.0,-1.110557862008472,-1.4313812441271005,-0.553,-0.425,0.7092702189214339,-0.6520740160116689,-0.7964445379650518,7.0,-0.09315343085880985,-0.11377779113786454,12,12
Isack Hadjar,1,17,-0.66,45,18,-1.05,51,11,-0.553,,,0.0,,,-0.553,-1.05,0.7092702189214339,,,1.0,,,15,15
Oliver Bearman,1,17,-0.66,58,10,-0.237,41,13,-0.621,,,6.0,,,-0.621,-0.237,0.4008918628686366,,,1.0,,,15,15
Liam Lawson,1,17,-0.66,52,14,-0.612,38,14,-0.641,,,2.0,,,-0.641,-0.612,0.6064774335705014,,,1.0,,,15,15
Esteban Ocon,7,10,-0.361,50,15,-0.737,38,14,-0.641,3.0,3.0,13.0,1.2126781251816652,1.1159921564380784,-0.641,-0.737,0.041117114140373015,0.2421668677457866,0.19865818181117262,7.0,0.034595266820826656,0.028379740258738944,3,4
Lance Stroll,3,13,-0.56,40,20,-1.362,33,16,-0.675,12.0,13.0,43.0,-0.39571601979612214,-0.582256777272041,-0.675,-1.362,-1.5007746661236137,-0.7692996755206165,-0.85324301638478,3.0,-0.25643322517353884,-0.28441433879492667,13,13
Yuki Tsunoda,2,14,-0.61,55,11,-0.425,33,16,-0.675,20.0,21.0,51.0,-1.8253997042208219,-1.9408559242401364,-0.675,-0.425,-1.9119458075273437,-1.2663744476521042,-1.3183297466607957,2.0,-0.6331872238260521,-0.6591648733303979,14,14
Pierre Gasly,10,7,-0.212,54,13,-0.487,22,18,-0.75,11.0,12.0,11.0,-0.21700555924303466,-0.41243188390102903,-0.75,-0.487,0.14390989949130545,-0.36816151171023503,-0.4561033578063325,10.0,-0.036816151171023506,-0.04561033578063325,10,10
Gabriel Bortoleto,2,14,-0.61,48,17,-0.862,19,19,-0.771,,,0.0,,,-0.771,-0.862,0.7092702189214339,,,2.0,,,15,15
Jack Doohan,1,17,-0.66,45,18,-1.05,0,20,-0.9,,,0.0,,,-0.9,-1.05,0.7092702189214339,,,1.0,,,15,15
