year,grand_prix,driver,total_score
2018,Abu Dhabi,Max Verstappen,80.71929824561403
2018,Abu Dhabi,Esteban Ocon,51.62280701754385
2018,Abu Dhabi,Sergio Perez,35.666666666666664
2018,Abu Dhabi,Sebastian Vettel,32.85087719298245
2018,Abu Dhabi,Charles Leclerc,27.219298245614034
2018,Abu Dhabi,Pierre Gasly,27.219298245614034
2018,Abu Dhabi,Romain Grosjean,26.280701754385962
2018,Abu Dhabi,Stoffel Vandoorne,16.89473684210526
2018,Abu Dhabi,Daniel Ricciardo,15.956140350877192
2018,Abu Dhabi,Lewis Hamilton,15.956140350877192
2018,Abu Dhabi,Carlos Sainz,12.201754385964911
2018,Abu Dhabi,Fernando Alonso,10.32456140350877
2018,Abu Dhabi,Marcus Ericsson,10.32456140350877
2018,Abu Dhabi,Kevin Magnussen,5.63157894736842
2018,Abu Dhabi,Brendon Hartley,4.69298245614035
2018,Australia,Valtteri Bottas,199.73333333333332
2018,Australia,Daniel Ricciardo,99.86666666666666
2018,Australia,Charles Leclerc,57.06666666666666
2018,Austria,Sebastian Vettel,74.9
2018,Austria,Sergio Perez,51.12222222222222
2018,Austria,Carlos Sainz,46.36666666666667
2018,Austria,Charles Leclerc,38.044444444444444
2018,Austria,Fernando Alonso,36.855555555555554
2018,Austria,Kevin Magnussen,32.1
2018,Austria,Pierre Gasly,29.72222222222222
2018,Austria,Kimi Raikkonen,22.58888888888889
2018,Austria,Daniel Ricciardo,21.4
2018,Austria,Marcus Ericsson,13.077777777777778
2018,Austria,Sergey Sirotkin,7.133333333333333
2018,Azerbaijan,Nico Hulkenberg,44.275862068965516
2018,Azerbaijan,Sergio Perez,43.660919540229884
2018,Azerbaijan,Kimi Raikkonen,41.201149425287355
2018,Azerbaijan,Carlos Sainz,36.2816091954023
2018,Azerbaijan,Fernando Alonso,33.206896551724135
2018,Azerbaijan,Charles Leclerc,31.97701149425287
2018,Azerbaijan,Max Verstappen,31.36206896551724
2018,Azerbaijan,Pierre Gasly,26.44252873563218
2018,Azerbaijan,Lance Stroll,24.597701149425284
2018,Azerbaijan,Stoffel Vandoorne,23.982758620689655
2018,Azerbaijan,Romain Grosjean,22.137931034482758
2018,Azerbaijan,Daniel Ricciardo,20.908045977011493
2018,Azerbaijan,Marcus Ericsson,15.988505747126435
2018,Azerbaijan,Brendon Hartley,6.764367816091954
2018,Azerbaijan,Kevin Magnussen,6.149425287356321
2018,Bahrain,Lewis Hamilton,43.14516129032258
2018,Bahrain,Kevin Magnussen,42.56989247311827
2018,Bahrain,Stoffel Vandoorne,40.84408602150537
2018,Bahrain,Romain Grosjean,37.39247311827957
2018,Bahrain,Nico Hulkenberg,28.188172043010752
2018,Bahrain,Fernando Alonso,25.887096774193544
2018,Bahrain,Pierre Gasly,25.887096774193544
2018,Bahrain,Esteban Ocon,24.736559139784944
2018,Bahrain,Carlos Sainz,21.284946236559136
2018,Bahrain,Sergio Perez,15.532258064516128
2018,Bahrain,Sebastian Vettel,11.50537634408602
2018,Bahrain,Marcus Ericsson,9.779569892473116
2018,Bahrain,Charles Leclerc,9.204301075268816
2018,Bahrain,Brendon Hartley,6.327956989247311
2018,Bahrain,Max Verstappen,6.327956989247311
2018,Belgium,Valtteri Bottas,146.23333333333335
2018,Belgium,Marcus Ericsson,54.68888888888888
2018,Belgium,Max Verstappen,41.611111111111114
2018,Belgium,Carlos Sainz,40.422222222222224
2018,Belgium,Sergey Sirotkin,39.233333333333334
2018,Belgium,Brendon Hartley,26.155555555555555
2018,Belgium,Lewis Hamilton,22.58888888888889
2018,Belgium,Esteban Ocon,16.644444444444446
2018,Belgium,Pierre Gasly,13.077777777777778
2018,Belgium,Lance Stroll,8.322222222222223
2018,Brazil,Daniel Ricciardo,59.67307692307692
2018,Brazil,Max Verstappen,50.070512820512825
2018,Brazil,Esteban Ocon,39.09615384615385
2018,Brazil,Sebastian Vettel,28.807692307692307
2018,Brazil,Kimi Raikkonen,24.006410256410255
2018,Brazil,Carlos Sainz,23.32051282051282
2018,Brazil,Sergio Perez,21.94871794871795
2018,Brazil,Lewis Hamilton,21.26282051282051
2018,Brazil,Valtteri Bottas,19.205128205128204
2018,Brazil,Kevin Magnussen,15.775641025641026
2018,Brazil,Stoffel Vandoorne,12.346153846153847
2018,Brazil,Fernando Alonso,11.66025641025641
2018,Brazil,Nico Hulkenberg,10.974358974358974
2018,Brazil,Charles Leclerc,8.916666666666666
2018,Brazil,Romain Grosjean,7.544871794871795
2018,Brazil,Brendon Hartley,6.8589743589743595
2018,Brazil,Sergey Sirotkin,3.4294871794871797
2018,Britain,Lewis Hamilton,139.4242424242424
2018,Britain,Kimi Raikkonen,126.45454545454544
2018,Britain,Fernando Alonso,36.74747474747474
2018,Britain,Sergio Perez,27.020202020202017
2018,Britain,Sebastian Vettel,21.616161616161612
2018,Britain,Max Verstappen,18.37373737373737
2018,Britain,Kevin Magnussen,12.969696969696969
2018,Britain,Lance Stroll,7.565656565656565
2018,Canada,Fernando Alonso,61.82222222222222
2018,Canada,Pierre Gasly,57.06666666666666
2018,Canada,Esteban Ocon,45.17777777777778
2018,Canada,Sergio Perez,35.666666666666664
2018,Canada,Nico Hulkenberg,33.28888888888889
2018,Canada,Carlos Sainz,30.91111111111111
2018,Canada,Romain Grosjean,14.266666666666666
2018,Canada,Stoffel Vandoorne,9.511111111111111
2018,China,Daniel Ricciardo,59.22012578616352
2018,China,Nico Hulkenberg,51.81761006289308
2018,China,Esteban Ocon,37.0125786163522
2018,China,Carlos Sainz,32.9748427672956
2018,China,Sergio Perez,29.61006289308176
2018,China,Fernando Alonso,26.245283018867923
2018,China,Max Verstappen,22.880503144654085
2018,China,Romain Grosjean,16.82389937106918
2018,China,Valtteri Bottas,13.459119496855346
2018,China,Stoffel Vandoorne,11.440251572327043
2018,China,Kevin Magnussen,8.748427672955975
2018,China,Lance Stroll,7.40251572327044
2018,China,Pierre Gasly,6.056603773584905
2018,China,Charles Leclerc,2.691823899371069
2018,China,Marcus Ericsson,2.0188679245283017
2018,France,Sebastian Vettel,86.42307692307692
2018,France,Valtteri Bottas,57.61538461538461
2018,France,Kimi Raikkonen,56.92948717948718
2018,France,Nico Hulkenberg,24.692307692307693
2018,France,Daniel Ricciardo,24.006410256410255
2018,France,Carlos Sainz,19.891025641025642
2018,France,Stoffel Vandoorne,18.51923076923077
2018,France,Charles Leclerc,16.46153846153846
2018,France,Romain Grosjean,15.08974358974359
2018,France,Kevin Magnussen,14.403846153846153
2018,France,Brendon Hartley,13.717948717948717
2018,France,Marcus Ericsson,10.288461538461538
2018,France,Fernando Alonso,6.173076923076923
2018,Germany,Romain Grosjean,55.66161616161615
2018,Germany,Lewis Hamilton,54.040404040404034
